
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.317	with	FireStingO2	(Firmware	3.10)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Oxygen Sensor Spot, FTC (normal range)	umol/l	OFF	SA7-530-200	3	ON External	21.500	ON	1013	30.000	40%	400x	10	ON fiber length	2.00	
Ch 2	Oxygen Sensor Spot, FTC (normal range)	umol/l	OFF	SA7-530-200	3	ON External	21.500	ON	1013	30.000	40%	400x	10	ON fiber length	2.00	
Ch 3	Oxygen Sensor Spot, FTC (normal range)	umol/l	OFF	SA7-530-200	3	ON External	21.500	ON	1013	30.000	40%	400x	10	ON fiber length	2.00	
Ch 4	Oxygen Sensor Spot, FTC (normal range)	umol/l	OFF	SA7-530-200	3	ON External	21.500	ON	1013	30.000	40%	400x	10	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	200	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	Toffset(K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	14.208	13.308	1019	100.000	20.950	50.414	21.813	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	0.000	
Ch 2	0% Calibration	Air with 100% Humidity or Air Saturated Water	14.198	13.313	1019	100.000	20.950	51.939	22.683	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	0.000	
Ch 3	0% Calibration	Air with 100% Humidity or Air Saturated Water	14.179	13.316	1019	100.000	20.950	51.313	22.657	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	0.000	
Ch 4	0% Calibration	Air with 100% Humidity or Air Saturated Water	14.171	13.317	1019	100.000	20.950	49.197	21.306	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	0.000	
Data	Smoothing:	3	
Date:	8/18/2021	
			 	Oxygen	Oxygen	Oxygen	Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
8/18/2021	09:01:59	0.00		246.09	226.50	247.85	228.77	13.187	13.187	13.187	13.187	1018.61	62.000	13.187	---	---	23.000	24.884	23.792	23.267	123.609	112.721	91.641	120.234	5.544	5.955	4.826	5.161	
8/18/2021	09:02:14	15.00		246.21	226.69	247.91	226.28	13.194	13.194	13.194	13.194	1018.54	62.031	13.194	---	---	22.992	24.871	23.787	23.385	123.656	112.560	91.661	120.957	5.520	5.957	4.814	5.219	
8/18/2021	09:02:29	30.00		246.63	228.59	248.07	225.97	13.191	13.191	13.191	13.191	1018.53	62.031	13.191	---	---	22.974	24.775	23.781	23.402	123.581	112.237	91.684	121.014	5.515	5.989	4.836	5.190	
8/18/2021	09:02:44	45.00		246.42	229.14	247.92	227.20	13.190	13.190	13.190	13.190	1018.60	62.054	13.190	---	---	22.984	24.747	23.788	23.342	123.608	111.996	91.670	120.640	5.496	5.980	4.862	5.247	
8/18/2021	09:02:59	60.00		246.39	229.60	248.16	228.06	13.195	13.195	13.195	13.195	1018.61	62.115	13.195	---	---	22.983	24.721	23.776	23.299	123.595	111.852	91.640	120.526	5.545	6.007	4.830	5.244	
8/18/2021	09:03:14	75.00		246.61	229.86	248.07	226.84	13.195	13.195	13.195	13.195	1018.65	62.115	13.195	---	---	22.973	24.708	23.780	23.357	123.604	111.863	91.611	120.754	5.537	5.995	4.817	5.211	
8/18/2021	09:03:29	90.00		246.75	230.41	248.28	226.19	13.197	13.197	13.197	13.197	1018.58	62.145	13.197	---	---	22.966	24.679	23.769	23.389	123.598	111.719	91.620	120.962	5.514	6.008	4.842	5.210	
8/18/2021	09:03:44	105.00		246.56	230.60	248.19	229.01	13.195	13.195	13.195	13.195	1018.60	62.145	13.195	---	---	22.975	24.670	23.774	23.252	123.605	111.612	91.608	120.156	5.492	5.998	4.839	5.237	
8/18/2021	09:03:59	120.00		246.74	231.18	248.27	229.83	13.198	13.198	13.198	13.198	1018.62	62.145	13.198	---	---	22.966	24.640	23.769	23.212	123.562	111.484	91.581	119.894	5.528	5.976	4.835	5.262	
8/18/2021	09:04:14	135.00		246.63	231.24	248.05	230.33	13.200	13.200	13.200	13.200	1018.62	62.153	13.200	---	---	22.970	24.636	23.778	23.187	123.587	111.449	91.612	119.779	5.533	6.022	4.829	5.219	
8/18/2021	09:04:29	150.00		246.74	231.37	248.57	228.86	13.200	13.200	13.200	13.200	1018.65	62.178	13.200	---	---	22.966	24.629	23.755	23.258	123.496	111.326	91.550	120.154	5.535	5.987	4.832	5.267	
8/18/2021	09:04:44	165.00		246.93	231.96	248.14	228.88	13.200	13.200	13.200	13.200	1018.68	62.178	13.200	---	---	22.957	24.600	23.774	23.257	123.562	111.299	91.580	120.204	5.549	5.982	4.820	5.185	
8/18/2021	09:04:59	180.00		246.89	232.32	248.52	227.07	13.206	13.206	13.206	13.206	1018.59	62.199	13.206	---	---	22.957	24.579	23.755	23.343	123.540	111.171	91.558	120.710	5.534	6.004	4.806	5.177	
