
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.317	with	FireStingO2	(Firmware	3.10)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Oxygen Sensor Spot, FTC (normal range)	umol/l	OFF	SA7-530-200	3	ON External	21.500	ON	1013	30.000	40%	400x	10	ON fiber length	2.00	
Ch 2	Oxygen Sensor Spot, FTC (normal range)	umol/l	OFF	SA7-530-200	3	ON External	21.500	ON	1013	30.000	40%	400x	10	ON fiber length	2.00	
Ch 3	Oxygen Sensor Spot, FTC (normal range)	umol/l	OFF	SA7-530-200	3	ON External	21.500	ON	1013	30.000	40%	400x	10	ON fiber length	2.00	
Ch 4	Oxygen Sensor Spot, FTC (normal range)	umol/l	OFF	SA7-530-200	3	ON External	21.500	ON	1013	30.000	40%	400x	10	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	200	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	Toffset(K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	15.232	14.275	1011	100.000	20.950	50.422	21.773	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	0.000	
Ch 2	0% Calibration	Air with 100% Humidity or Air Saturated Water	15.210	14.285	1011	100.000	20.950	51.929	22.615	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	0.000	
Ch 3	0% Calibration	Air with 100% Humidity or Air Saturated Water	15.184	14.302	1011	100.000	20.950	51.327	22.607	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	0.000	
Ch 4	0% Calibration	Air with 100% Humidity or Air Saturated Water	15.170	14.314	1011	100.000	20.950	49.234	21.150	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	0.000	
Data	Smoothing:	3	
Date:	8/13/2021	
			 	Oxygen	Oxygen	Oxygen	Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
8/13/2021	16:31:19	0.00		243.10	222.05	244.39	237.17	13.060	13.060	13.060	13.060	1013.75	58.636	13.060	---	---	23.158	25.112	23.969	22.774	114.747	111.399	85.737	84.222	5.539	5.988	4.871	6.185	
8/13/2021	16:31:34	15.00		243.24	222.47	244.43	236.52	13.060	13.060	13.060	13.060	1013.71	58.811	13.060	---	---	23.152	25.090	23.967	22.804	114.671	111.219	85.753	84.216	5.509	5.953	4.830	6.094	
8/13/2021	16:31:49	30.00		242.82	223.04	244.14	237.22	13.055	13.055	13.055	13.055	1013.72	58.987	13.055	---	---	23.173	25.061	23.983	22.773	114.662	111.143	85.603	84.234	5.473	5.955	4.891	6.179	
8/13/2021	16:32:04	45.00		245.97	221.12	244.51	237.16	13.049	13.049	13.049	13.049	1013.70	59.017	13.049	---	---	23.030	25.166	23.968	22.778	111.341	112.995	83.498	82.969	5.461	5.972	4.865	6.127	
8/13/2021	16:32:19	60.00		222.29	208.06	248.60	236.91	13.074	13.074	13.074	13.074	1013.68	58.956	13.074	---	---	24.168	25.875	23.767	22.781	118.273	116.416	86.586	83.550	5.535	6.012	4.894	6.251	
8/13/2021	16:32:34	75.00		241.86	209.48	244.33	236.73	13.090	13.090	13.090	13.090	1013.65	58.956	13.090	---	---	23.206	25.789	23.961	22.784	116.630	115.992	87.784	83.447	5.523	5.953	4.880	6.181	
8/13/2021	16:32:49	90.00		243.48	215.56	244.51	237.08	13.089	13.089	13.089	13.089	1013.71	58.956	13.089	---	---	23.131	25.451	23.953	22.768	116.187	114.283	87.713	83.242	5.585	5.986	4.832	6.238	
8/13/2021	16:33:04	105.00		244.59	212.19	244.33	237.40	13.090	13.090	13.090	13.090	1013.67	58.916	13.090	---	---	23.079	25.637	23.961	22.753	123.035	110.928	85.594	82.805	5.518	5.977	4.854	6.215	
8/13/2021	16:33:19	120.00		219.59	219.99	240.97	237.04	13.060	13.060	13.060	13.060	1013.71	58.760	13.060	---	---	24.312	25.222	24.132	22.779	125.988	112.848	86.292	83.097	5.538	5.941	4.877	6.190	
8/13/2021	16:33:34	135.00		219.14	223.78	242.02	237.21	13.105	13.105	13.105	13.105	1013.71	58.659	13.105	---	---	24.320	25.004	24.066	22.757	126.395	111.716	86.007	81.852	5.561	5.964	4.882	6.241	
8/13/2021	16:33:49	150.00		218.55	221.31	242.42	236.93	13.101	13.101	13.101	13.101	1013.69	58.659	13.101	---	---	24.352	25.137	24.048	22.771	126.673	112.407	85.967	81.022	5.547	5.993	4.862	6.187	
8/13/2021	16:34:04	165.00		223.65	218.16	242.21	237.56	13.101	13.101	13.101	13.101	1013.73	58.659	13.101	---	---	24.089	25.305	24.059	22.742	125.019	113.243	86.014	80.898	5.525	5.958	4.885	6.194	
8/13/2021	16:34:19	180.00		226.63	211.15	242.42	238.03	13.090	13.090	13.090	13.090	1013.69	58.659	13.090	---	---	23.942	25.695	24.052	22.723	124.408	115.142	86.028	80.591	5.431	5.953	4.815	6.184	
8/13/2021	16:34:34	195.00		224.16	211.77	242.72	237.92	13.096	13.096	13.096	13.096	1013.65	58.679	13.096	---	---	24.065	25.658	24.035	22.726	125.266	114.983	86.032	80.671	5.494	5.978	4.915	6.227	
8/13/2021	16:34:49	210.00		221.04	217.30	243.03	238.48	13.092	13.092	13.092	13.092	1013.70	58.750	13.092	---	---	24.226	25.355	24.022	22.702	126.327	113.496	85.986	80.840	5.555	5.991	4.856	6.228	
8/13/2021	16:35:04	225.00		216.63	217.06	242.85	237.87	13.107	13.107	13.107	13.107	1013.70	58.895	13.107	---	---	24.451	25.363	24.025	22.726	127.755	113.457	85.927	80.630	5.446	5.938	4.844	6.153	
8/13/2021	16:35:19	240.00		217.29	217.97	242.94	238.42	13.098	13.098	13.098	13.098	1013.71	58.956	13.098	---	---	24.419	25.317	24.025	22.703	127.629	113.268	85.931	80.518	5.483	5.944	4.927	6.196	
8/13/2021	16:35:34	255.00		219.43	217.04	242.95	238.18	13.107	13.107	13.107	13.107	1013.71	59.017	13.107	---	---	24.304	25.364	24.021	22.711	126.974	113.475	85.966	80.607	5.516	5.991	4.879	6.200	
8/13/2021	16:35:49	270.00		221.09	216.50	242.84	237.45	13.124	13.124	13.124	13.124	1013.70	58.987	13.124	---	---	24.212	25.387	24.020	22.739	126.529	113.611	85.985	80.613	5.550	5.937	4.868	6.165	
8/13/2021	16:36:04	285.00		222.01	215.91	242.79	237.54	13.134	13.134	13.134	13.134	1013.71	59.007	13.134	---	---	24.161	25.416	24.018	22.732	126.300	113.724	85.980	80.748	5.541	6.012	4.884	6.218	
8/13/2021	16:36:19	300.00		221.02	214.47	242.70	237.76	13.120	13.120	13.120	13.120	1013.72	59.027	13.120	---	---	24.217	25.500	24.028	22.726	126.759	114.230	86.018	80.846	5.535	5.980	4.846	6.820	
8/13/2021	16:36:34	315.00		219.99	214.46	242.84	237.59	13.119	13.119	13.119	13.119	1013.72	59.048	13.119	---	---	24.271	25.501	24.021	22.734	127.079	114.183	86.002	80.745	5.483	5.944	4.867	6.804	
8/13/2021	16:36:49	330.00		219.86	215.23	243.04	237.50	13.109	13.109	13.109	13.109	1013.67	59.173	13.109	---	---	24.281	25.462	24.016	22.742	127.241	113.970	86.023	80.752	5.498	5.907	4.843	6.821	
8/13/2021	16:37:04	345.00		217.81	212.53	243.18	237.64	13.098	13.098	13.098	13.098	1013.69	59.213	13.098	---	---	24.392	25.615	24.013	22.739	127.869	114.804	85.994	80.891	5.524	5.978	4.897	6.853	
8/13/2021	16:37:19	360.00		217.98	214.84	243.07	238.07	13.113	13.113	13.113	13.113	1013.63	58.946	13.113	---	---	24.377	25.482	24.013	22.714	127.868	114.066	86.042	80.839	5.549	5.988	4.915	6.807	
8/13/2021	16:37:34	375.00		218.40	214.13	243.07	237.74	13.099	13.099	13.099	13.099	1013.62	58.801	13.099	---	---	24.361	25.526	24.018	22.734	127.796	114.374	86.017	80.662	5.462	5.927	4.887	6.838	
8/13/2021	16:37:49	390.00		216.48	210.07	242.66	237.59	13.099	13.099	13.099	13.099	1013.74	58.750	13.099	---	---	24.461	25.752	24.037	22.741	128.333	115.504	86.042	80.890	5.572	6.007	4.913	6.853	
8/13/2021	16:38:04	405.00		217.02	207.64	242.74	237.41	13.121	13.121	13.121	13.121	1013.70	58.829	13.121	---	---	24.425	25.882	24.025	22.742	128.138	116.183	86.047	80.918	5.586	5.991	4.913	6.879	
8/13/2021	16:38:19	420.00		216.28	207.19	242.93	236.96	13.108	13.108	13.108	13.108	1013.69	58.956	13.108	---	---	24.468	25.913	24.021	22.767	128.494	116.293	86.060	80.700	5.602	5.954	4.898	6.829	
8/13/2021	16:38:34	435.00		213.76	211.79	242.67	237.20	13.115	13.115	13.115	13.115	1013.66	58.946	13.115	---	---	24.600	25.650	24.031	22.753	129.286	115.027	86.090	80.913	5.550	5.989	4.914	6.847	
8/13/2021	16:38:49	450.00		212.46	209.38	242.67	236.83	13.118	13.118	13.118	13.118	1013.70	58.895	13.118	---	---	24.668	25.784	24.030	22.770	129.767	115.727	86.083	80.886	5.501	5.959	4.871	6.808	
8/13/2021	16:39:04	465.00		212.04	209.88	242.39	237.04	13.130	13.130	13.130	13.130	1013.75	58.926	13.130	---	---	24.687	25.752	24.039	22.756	129.928	115.539	86.142	80.850	5.503	5.985	4.884	6.842	
8/13/2021	16:39:19	480.00		213.79	214.01	242.35	237.01	13.116	13.116	13.116	13.116	1013.76	58.895	13.116	---	---	24.598	25.527	24.046	22.762	129.433	114.311	86.151	80.866	5.593	5.988	4.905	6.858	
8/13/2021	16:39:34	495.00		212.31	212.67	242.12	237.54	13.133	13.133	13.133	13.133	1013.78	58.916	13.133	---	---	24.671	25.594	24.051	22.732	129.803	114.641	86.180	81.001	5.577	6.012	4.948	6.909	
8/13/2021	16:39:49	510.00		213.72	212.53	242.15	237.01	13.113	13.113	13.113	13.113	1013.69	58.895	13.113	---	---	24.603	25.610	24.056	22.763	129.466	114.753	86.199	80.882	5.449	5.940	4.884	6.872	
8/13/2021	16:40:04	525.00		216.02	213.96	242.32	237.16	13.117	13.117	13.117	13.117	1013.70	58.895	13.117	---	---	24.479	25.529	24.047	22.755	128.722	114.371	86.233	80.677	5.604	6.021	4.955	6.922	
8/13/2021	16:40:19	540.00		215.55	213.40	241.64	236.81	13.137	13.137	13.137	13.137	1013.68	58.926	13.137	---	---	24.497	25.552	24.073	22.764	128.835	114.479	86.239	80.981	5.544	5.973	4.918	6.847	
8/13/2021	16:40:34	555.00		215.73	212.23	241.61	236.67	13.106	13.106	13.106	13.106	1013.66	58.926	13.106	---	---	24.498	25.629	24.085	22.782	128.776	114.935	86.268	80.973	5.622	6.004	4.963	6.872	
8/13/2021	16:40:49	570.00		216.44	214.50	242.08	237.36	13.085	13.085	13.085	13.085	1013.70	58.895	13.085	---	---	24.468	25.511	24.070	22.756	128.621	114.238	86.284	80.803	5.419	5.912	4.873	6.889	
8/13/2021	16:41:04	585.00		215.86	214.30	241.43	236.42	13.099	13.099	13.099	13.099	1013.72	58.895	13.099	---	---	24.494	25.517	24.096	22.796	128.837	114.308	86.317	80.992	5.456	5.997	4.889	6.826	
8/13/2021	16:41:19	600.00		215.73	214.24	241.55	236.69	13.114	13.114	13.114	13.114	1013.72	58.895	13.114	---	---	24.496	25.515	24.085	22.778	128.924	114.263	86.332	81.066	5.441	5.986	4.882	6.827	
8/13/2021	16:41:34	615.00		216.44	213.85	241.22	236.77	13.104	13.104	13.104	13.104	1013.69	58.926	13.104	---	---	24.461	25.540	24.104	22.777	128.685	114.345	86.328	80.832	5.490	5.988	4.919	6.893	
8/13/2021	16:41:49	630.00		216.71	213.05	241.00	236.24	13.117	13.117	13.117	13.117	1013.69	58.926	13.117	---	---	24.443	25.579	24.110	22.798	128.673	114.585	86.390	81.031	5.556	5.989	4.953	6.892	
8/13/2021	16:42:04	645.00		216.80	213.72	241.29	235.99	13.116	13.116	13.116	13.116	1013.67	58.926	13.116	---	---	24.438	25.542	24.096	22.809	128.543	114.477	86.361	81.133	5.572	6.031	4.965	6.956	
8/13/2021	16:42:19	660.00		216.60	212.37	240.68	236.12	13.117	13.117	13.117	13.117	1013.64	58.956	13.117	---	---	24.449	25.617	24.126	22.803	128.694	114.812	86.378	80.978	5.591	5.968	4.890	6.897	
8/13/2021	16:42:34	675.00		216.23	211.63	240.83	236.41	13.108	13.108	13.108	13.108	1013.67	58.956	13.108	---	---	24.472	25.662	24.121	22.793	128.832	114.989	86.459	80.999	5.646	6.069	4.920	6.876	
8/13/2021	16:42:49	690.00		215.79	211.25	240.77	236.39	13.095	13.095	13.095	13.095	1013.70	58.987	13.095	---	---	24.499	25.688	24.129	22.798	128.917	115.166	86.473	81.094	5.558	6.020	4.927	6.869	
8/13/2021	16:43:04	705.00		215.22	210.58	240.49	236.00	13.115	13.115	13.115	13.115	1013.69	59.017	13.115	---	---	24.523	25.718	24.136	22.810	129.108	115.280	86.460	81.127	5.384	5.923	4.834	6.823	
8/13/2021	16:43:19	720.00		214.46	209.01	240.46	236.37	13.114	13.114	13.114	13.114	1013.67	59.017	13.114	---	---	24.563	25.807	24.137	22.792	129.368	115.655	86.474	81.038	5.543	5.990	4.897	6.814	
8/13/2021	16:43:34	735.00		213.84	210.99	240.87	235.54	13.130	13.130	13.130	13.130	1013.74	59.071	13.130	---	---	24.590	25.690	24.111	22.826	129.526	115.209	86.503	81.265	5.574	6.012	4.926	6.828	
8/13/2021	16:43:49	750.00		212.85	210.81	240.42	235.90	13.137	13.137	13.137	13.137	1013.67	59.101	13.137	---	---	24.641	25.697	24.131	22.806	129.857	115.175	86.500	81.086	5.467	5.969	4.926	6.885	
8/13/2021	16:44:04	765.00		212.69	210.76	240.53	235.33	13.126	13.126	13.126	13.126	1013.67	59.101	13.126	---	---	24.654	25.704	24.130	22.837	129.935	115.189	86.543	81.136	5.571	5.919	4.835	6.792	
8/13/2021	16:44:19	780.00		213.37	211.18	240.28	235.74	13.105	13.105	13.105	13.105	1013.73	59.101	13.105	---	---	24.624	25.687	24.149	22.825	129.778	115.092	86.581	81.170	5.452	5.945	4.840	6.845	
8/13/2021	16:44:34	795.00		213.21	211.36	239.95	235.29	13.117	13.117	13.117	13.117	1013.71	59.081	13.117	---	---	24.628	25.673	24.160	22.842	129.727	115.059	86.579	81.243	5.566	6.004	4.916	6.897	
8/13/2021	16:44:49	810.00		213.60	209.82	240.31	235.55	13.126	13.126	13.126	13.126	1013.72	59.122	13.126	---	---	24.605	25.757	24.140	22.827	129.627	115.404	86.613	81.083	5.459	5.946	4.807	6.791	
8/13/2021	16:45:04	825.00		213.89	209.90	240.17	234.80	13.122	13.122	13.122	13.122	1013.68	59.132	13.122	---	---	24.590	25.754	24.148	22.863	129.609	115.518	86.578	81.354	5.576	6.014	4.939	6.818	
8/13/2021	16:45:19	840.00		214.04	208.50	239.48	234.96	13.129	13.129	13.129	13.129	1013.74	59.132	13.129	---	---	24.580	25.830	24.179	22.854	129.645	115.794	86.675	81.377	5.558	5.961	4.943	6.891	
8/13/2021	16:45:34	855.00		213.06	209.04	239.72	234.80	13.142	13.142	13.142	13.142	1013.75	59.132	13.142	---	---	24.628	25.794	24.163	22.856	129.793	115.668	86.612	81.181	5.454	5.942	4.843	6.806	
8/13/2021	16:45:49	870.00		212.57	209.02	239.38	234.74	13.131	13.131	13.131	13.131	1013.72	59.132	13.131	---	---	24.658	25.800	24.183	22.863	130.033	115.691	86.672	81.395	5.485	5.946	4.844	6.780	
8/13/2021	16:46:04	885.00		211.68	207.91	239.19	234.70	13.140	13.140	13.140	13.140	1013.65	59.193	13.140	---	---	24.703	25.859	24.190	22.862	130.239	115.996	86.718	81.423	5.508	5.931	4.907	6.882	
8/13/2021	16:46:19	900.00		211.96	204.64	239.01	234.84	13.116	13.116	13.116	13.116	1013.73	59.246	13.116	---	---	24.696	26.056	24.207	22.864	130.260	117.010	86.760	81.339	5.504	5.956	4.827	6.784	
8/13/2021	16:46:34	915.00		211.57	205.43	239.06	235.02	13.103	13.103	13.103	13.103	1013.63	59.246	13.103	---	---	24.722	26.015	24.209	22.860	130.386	116.812	86.769	81.372	5.625	6.012	4.922	6.861	
8/13/2021	16:46:49	930.00		210.45	206.93	239.02	234.53	13.114	13.114	13.114	13.114	1013.72	59.223	13.114	---	---	24.779	25.925	24.207	22.879	130.679	116.302	86.794	81.559	5.579	5.947	4.913	6.845	
8/13/2021	16:47:04	945.00		208.29	206.05	238.96	234.09	13.120	13.120	13.120	13.120	1013.70	59.246	13.120	---	---	24.895	25.973	24.208	22.897	131.394	116.457	86.817	81.440	5.563	6.014	4.932	6.892	
8/13/2021	16:47:19	960.00		208.50	205.83	238.63	233.77	13.117	13.117	13.117	13.117	1013.73	59.246	13.117	---	---	24.884	25.987	24.224	22.913	131.330	116.705	86.821	81.408	5.581	6.066	4.966	6.911	
8/13/2021	16:47:34	975.00		209.18	205.80	238.57	234.02	13.118	13.118	13.118	13.118	1013.73	59.246	13.118	---	---	24.847	25.988	24.227	22.901	131.154	116.650	86.887	81.634	5.459	5.941	4.835	6.807	
8/13/2021	16:47:49	990.00		208.92	200.56	238.50	234.27	13.115	13.115	13.115	13.115	1013.70	59.246	13.115	---	---	24.862	26.295	24.231	22.890	131.184	118.191	86.859	81.606	5.507	5.957	4.867	6.842	
8/13/2021	16:48:04	1005.00		209.14	196.98	238.62	234.27	13.108	13.108	13.108	13.108	1013.71	59.246	13.108	---	---	24.852	26.511	24.228	22.893	131.080	119.331	86.932	81.479	5.514	5.970	4.893	6.862	
