
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.317	with	FireStingO2	(Firmware	3.10)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Oxygen Sensor Spot, FTC (normal range)	umol/l	OFF	SA7-530-200	3	ON External	21.500	ON	1013	30.000	40%	400x	10	ON fiber length	2.00	
Ch 2	Oxygen Sensor Spot, FTC (normal range)	umol/l	OFF	SA7-530-200	3	ON External	21.500	ON	1013	30.000	40%	400x	10	ON fiber length	2.00	
Ch 3	Oxygen Sensor Spot, FTC (normal range)	umol/l	OFF	SA7-530-200	3	ON External	21.500	ON	1013	30.000	40%	400x	10	ON fiber length	2.00	
Ch 4	Oxygen Sensor Spot, FTC (normal range)	umol/l	OFF	SA7-530-200	3	ON External	21.500	ON	1013	30.000	40%	400x	10	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	200	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	Toffset(K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	16.411	13.574	1016	100.000	20.950	50.428	21.912	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	0.000	
Ch 2	0% Calibration	Air with 100% Humidity or Air Saturated Water	16.372	13.576	1016	100.000	20.950	51.929	22.670	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	0.000	
Ch 3	0% Calibration	Air with 100% Humidity or Air Saturated Water	16.419	13.578	1016	100.000	20.950	51.258	22.544	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	0.000	
Ch 4	0% Calibration	Air with 100% Humidity or Air Saturated Water	16.401	13.575	1016	100.000	20.950	49.151	21.227	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	0.000	
Data	Smoothing:	3	
Date:	8/11/2021	
			 	Oxygen	Oxygen	Oxygen	Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
8/11/2021	21:28:52	0.00		237.45	237.74	235.73	236.25	13.005	13.005	13.005	13.005	1012.38	58.018	13.005	---	---	23.565	24.365	24.317	22.888	106.743	109.535	92.652	101.611	5.518	5.966	4.832	4.894	
8/11/2021	21:29:07	15.00		237.63	238.45	236.12	236.46	12.943	12.943	12.943	12.943	1012.38	58.018	12.943	---	---	23.578	24.352	24.320	22.900	106.764	109.544	92.628	101.641	5.580	5.967	4.889	4.948	
8/11/2021	21:29:22	30.00		237.89	238.69	236.81	236.67	12.903	12.903	12.903	12.903	1012.45	58.018	12.903	---	---	23.580	24.356	24.301	22.904	106.776	109.546	92.632	101.655	5.426	5.903	4.763	4.849	
8/11/2021	21:29:37	45.00		238.09	238.77	236.67	237.13	12.866	12.866	12.866	12.866	1012.31	57.987	12.866	---	---	23.584	24.365	24.321	22.895	106.743	109.581	92.672	101.636	5.556	5.860	4.789	4.842	
8/11/2021	21:29:52	60.00		238.48	238.85	236.87	237.01	12.850	12.850	12.850	12.850	1012.40	57.987	12.850	---	---	23.571	24.367	24.317	22.906	106.761	109.629	92.666	101.529	5.332	5.795	4.657	4.828	
8/11/2021	21:30:07	75.00		237.79	238.36	236.21	236.50	12.899	12.899	12.899	12.899	1012.42	58.018	12.899	---	---	23.586	24.373	24.331	22.913	106.757	109.632	92.717	101.594	5.628	5.904	4.799	4.877	
8/11/2021	21:30:22	90.00		237.47	238.01	236.24	236.27	12.895	12.895	12.895	12.895	1012.34	58.018	12.895	---	---	23.603	24.392	24.331	22.925	106.850	109.664	92.730	101.553	5.462	5.952	4.777	4.875	
8/11/2021	21:30:37	105.00		238.15	238.27	236.59	236.84	12.843	12.843	12.843	12.843	1012.44	58.018	12.843	---	---	23.589	24.398	24.333	22.916	106.871	109.678	92.749	101.589	5.687	6.008	4.934	5.026	
8/11/2021	21:30:52	120.00		238.03	238.32	236.69	236.66	12.838	12.838	12.838	12.838	1012.35	58.018	12.838	---	---	23.596	24.397	24.330	22.926	106.859	109.711	92.765	101.709	5.409	5.891	4.716	4.870	
8/11/2021	21:31:07	135.00		237.94	238.28	236.59	236.73	12.833	12.833	12.833	12.833	1012.43	58.033	12.833	---	---	23.602	24.401	24.336	22.925	106.853	109.706	92.762	101.733	5.647	6.013	4.832	4.845	
8/11/2021	21:31:22	150.00		238.17	238.00	236.37	236.68	12.852	12.852	12.852	12.852	1012.36	58.041	12.852	---	---	23.585	24.408	24.341	22.921	106.868	109.720	92.746	101.747	5.390	5.869	4.794	4.864	
8/11/2021	21:31:37	165.00		238.05	238.27	236.36	236.26	12.850	12.850	12.850	12.850	1012.39	58.041	12.850	---	---	23.591	24.396	24.342	22.941	106.922	109.716	92.791	101.783	5.330	5.903	4.854	5.026	
8/11/2021	21:31:52	180.00		237.24	237.93	235.84	236.21	12.880	12.880	12.880	12.880	1012.38	58.041	12.880	---	---	23.619	24.401	24.356	22.933	106.939	109.739	92.802	101.743	5.547	5.914	4.802	4.862	
