8/12/2021/12:05 AM SW ver:OXY4v2_30
Header Ch-4
Description: 
IDENTIFICATION
PHIboard number   : v1230972
PM number         : 00000000
Serial number     : S DLD 0001 000056   
MUX channel       : ON - 04

PARAMETERS
Signal LED current: 050
Ref LED current   : 077
Ref LED amplitude : 98019
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.33 at 013.7°C amp 069600
100.00%a.s.phase 2: 28.39 at 013.1°C amp 025100
Date   (ddmmyy)   : 111216
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C;Error
8/12/2021;12:05:54 AM;0.00;83.090;30.440;27281.000;13.100;0.000
8/12/2021;12:05:56 AM;0.02;83.070;30.450;27330.000;13.100;0.000
8/12/2021;12:05:57 AM;0.04;83.320;30.410;27291.000;13.100;0.000
8/12/2021;12:06:07 AM;0.21;83.180;30.430;27304.000;13.100;0.000
8/12/2021;12:06:22 AM;0.46;83.030;30.450;27311.000;13.100;0.000
8/12/2021;12:06:37 AM;0.71;83.040;30.450;27316.000;13.100;0.000
8/12/2021;12:06:52 AM;0.96;83.240;30.420;27301.000;13.100;0.000
8/12/2021;12:07:07 AM;1.21;83.400;30.400;27317.000;13.100;0.000
8/12/2021;12:07:22 AM;1.46;83.350;30.410;27338.000;13.100;0.000
8/12/2021;12:07:37 AM;1.71;83.070;30.450;27361.000;13.100;0.000
8/12/2021;12:07:52 AM;1.96;82.890;30.470;27377.000;13.100;0.000
8/12/2021;12:08:07 AM;2.21;82.840;30.480;27379.000;13.100;0.000
8/12/2021;12:08:22 AM;2.46;82.720;30.490;27346.000;13.100;0.000
8/12/2021;12:08:37 AM;2.71;82.840;30.480;27351.000;13.100;0.000
8/12/2021;12:08:52 AM;2.96;82.330;30.550;27392.000;13.100;0.000
8/12/2021;12:09:07 AM;3.21;82.810;30.480;27382.000;13.100;0.000
8/12/2021;12:09:22 AM;3.47;82.390;30.540;27400.000;13.100;0.000
8/12/2021;12:09:37 AM;3.71;82.680;30.500;27425.000;13.100;0.000
8/12/2021;12:09:52 AM;3.96;82.840;30.480;27443.000;13.100;0.000
8/12/2021;12:10:07 AM;4.21;82.690;30.500;27445.000;13.100;0.000
8/12/2021;12:10:22 AM;4.46;82.180;30.570;27431.000;13.100;0.000
8/12/2021;12:10:37 AM;4.71;82.130;30.570;27462.000;13.100;0.000
8/12/2021;12:10:52 AM;4.96;82.240;30.560;27464.000;13.100;0.000
8/12/2021;12:11:07 AM;5.21;82.410;30.540;27482.000;13.100;0.000
8/12/2021;12:11:22 AM;5.46;81.850;30.610;27481.000;13.100;0.000
8/12/2021;12:11:37 AM;5.71;82.100;30.580;27494.000;13.100;0.000
8/12/2021;12:11:52 AM;5.96;82.230;30.560;27502.000;13.100;0.000
8/12/2021;12:12:07 AM;6.21;81.670;30.640;27510.000;13.100;0.000
8/12/2021;12:12:22 AM;6.47;81.770;30.620;27521.000;13.100;0.000
8/12/2021;12:12:37 AM;6.71;82.040;30.590;27531.000;13.100;0.000
8/12/2021;12:12:52 AM;6.96;81.950;30.600;27524.000;13.100;0.000
8/12/2021;12:13:07 AM;7.21;82.080;30.580;27516.000;13.100;0.000
8/12/2021;12:13:22 AM;7.46;81.960;30.600;27553.000;13.100;0.000
8/12/2021;12:13:37 AM;7.71;81.670;30.640;27556.000;13.100;0.000
8/12/2021;12:13:52 AM;7.97;81.880;30.610;27573.000;13.100;0.000
