
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.317	with	FireStingO2	(Firmware	3.10)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Oxygen Sensor Spot, FTC (normal range)	umol/l	OFF	SA7-530-200	3	ON External	21.500	ON	1013	30.000	40%	400x	10	ON fiber length	2.00	
Ch 2	Oxygen Sensor Spot, FTC (normal range)	umol/l	OFF	SA7-530-200	3	ON External	21.500	ON	1013	30.000	40%	400x	10	ON fiber length	2.00	
Ch 3	Oxygen Sensor Spot, FTC (normal range)	umol/l	OFF	SA7-530-200	3	ON External	21.500	ON	1013	30.000	40%	400x	10	ON fiber length	2.00	
Ch 4	Oxygen Sensor Spot, FTC (normal range)	umol/l	OFF	SA7-530-200	3	ON External	21.500	ON	1013	30.000	40%	400x	10	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	200	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	Toffset(K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	16.411	13.574	1016	100.000	20.950	50.428	21.912	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	0.000	
Ch 2	0% Calibration	Air with 100% Humidity or Air Saturated Water	16.372	13.576	1016	100.000	20.950	51.929	22.670	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	0.000	
Ch 3	0% Calibration	Air with 100% Humidity or Air Saturated Water	16.419	13.578	1016	100.000	20.950	51.258	22.544	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	0.000	
Ch 4	0% Calibration	Air with 100% Humidity or Air Saturated Water	16.401	13.575	1016	100.000	20.950	49.151	21.227	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	0.000	
Data	Smoothing:	3	
Date:	8/12/2021	
			 	Oxygen	Oxygen	Oxygen	Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
8/12/2021	00:07:37	0.00		232.48	230.10	182.98	184.65	12.736	12.736	12.736	12.736	1012.75	60.571	12.736	---	---	23.900	24.846	27.372	25.725	109.846	112.614	106.632	116.254	5.385	5.897	4.770	4.957	
8/12/2021	00:07:52	15.00		231.80	229.48	181.93	189.00	12.809	12.809	12.809	12.809	1012.81	60.617	12.809	---	---	23.908	24.851	27.413	25.441	110.052	112.653	106.510	114.955	5.455	5.911	4.771	4.937	
8/12/2021	00:08:07	30.00		230.75	229.71	182.00	224.73	12.817	12.817	12.817	12.817	1012.77	60.660	12.817	---	---	23.957	24.837	27.405	23.505	109.935	112.613	106.467	104.536	5.408	5.835	4.678	4.840	
8/12/2021	00:08:22	45.00		231.28	229.19	180.69	227.35	12.887	12.887	12.887	12.887	1012.81	60.617	12.887	---	---	23.906	24.838	27.464	23.352	109.705	112.637	106.694	103.839	5.634	6.000	4.815	4.919	
8/12/2021	00:08:37	60.00		231.12	229.34	180.82	227.91	12.853	12.853	12.853	12.853	1012.81	60.642	12.853	---	---	23.926	24.842	27.469	23.337	109.841	112.681	106.737	103.776	5.475	5.930	4.784	4.948	
8/12/2021	00:08:52	75.00		230.65	229.34	180.57	228.35	12.838	12.838	12.838	12.838	1012.77	60.617	12.838	---	---	23.954	24.848	27.490	23.321	109.891	112.682	106.835	103.765	5.522	5.896	4.790	4.596	
8/12/2021	00:09:07	90.00		231.28	229.38	180.27	228.29	12.835	12.835	12.835	12.835	1012.75	60.617	12.835	---	---	23.924	24.847	27.511	23.325	109.758	112.678	106.905	103.800	5.542	5.931	4.854	4.406	
8/12/2021	00:09:22	105.00		231.47	229.30	180.24	228.08	12.834	12.834	12.834	12.834	1012.78	60.617	12.834	---	---	23.915	24.852	27.513	23.335	109.754	112.697	107.019	103.753	5.417	5.824	4.759	4.410	
8/12/2021	00:09:37	120.00		231.42	229.23	179.73	228.56	12.833	12.833	12.833	12.833	1012.77	60.617	12.833	---	---	23.918	24.855	27.547	23.312	109.763	112.766	107.062	103.741	5.574	6.047	4.824	4.553	
8/12/2021	00:09:52	135.00		231.41	229.30	180.50	228.58	12.831	12.831	12.831	12.831	1012.81	60.650	12.831	---	---	23.919	24.852	27.497	23.312	109.739	112.735	106.889	103.780	5.409	5.850	4.645	4.370	
8/12/2021	00:10:07	150.00		231.31	229.08	185.29	228.39	12.851	12.851	12.851	12.851	1012.79	60.648	12.851	---	---	23.917	24.857	27.184	23.315	109.771	112.759	105.620	103.811	5.523	5.909	4.826	4.490	
8/12/2021	00:10:22	165.00		231.49	229.20	192.47	228.55	12.821	12.821	12.821	12.821	1012.75	60.635	12.821	---	---	23.919	24.861	26.749	23.317	109.739	112.768	103.795	103.824	5.729	5.989	4.809	4.485	
8/12/2021	00:10:37	180.00		231.75	228.88	198.18	228.30	12.837	12.837	12.837	12.837	1012.78	60.635	12.837	---	---	23.900	24.872	26.400	23.324	109.751	112.781	102.186	103.887	5.463	5.931	4.754	4.372	
