8/11/2021/3:41 PM SW ver:OXY4v2_30
Header Ch-1
Description: 
IDENTIFICATION
PHIboard number   : v1230969
PM number         : 00000000
Serial number     : S DLD 0001 000056   
MUX channel       : ON - 01

PARAMETERS
Signal LED current: 050
Ref LED current   : 076
Ref LED amplitude : 100783
Frequency         : 006
Sending interval  : 0001
Averaging         : 7
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.06 at 013.7°C amp 011800
100.00%a.s.phase 2: 28.47 at 013.3°C amp 005600
Date   (ddmmyy)   : 111216
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C;Error
8/11/2021;3:41:46 PM;0.00;84.410;30.390;6435.000;13.100;0.000
8/11/2021;3:41:47 PM;0.02;84.980;30.310;6445.000;13.100;0.000
8/11/2021;3:41:49 PM;0.05;83.920;30.450;6434.000;13.100;0.000
8/11/2021;3:41:50 PM;0.07;84.410;30.390;6441.000;13.100;0.000
8/11/2021;3:41:52 PM;0.09;84.860;30.330;6432.000;13.100;0.000
8/11/2021;3:42:06 PM;0.33;85.780;30.200;6062.000;13.100;0.000
8/11/2021;3:42:21 PM;0.58;85.280;30.270;6189.000;13.100;0.000
8/11/2021;3:42:36 PM;0.83;84.800;30.330;6136.000;13.100;0.000
8/11/2021;3:42:51 PM;1.08;83.890;30.460;6127.000;13.100;0.000
8/11/2021;3:43:06 PM;1.33;84.200;30.410;6004.000;13.100;0.000
8/11/2021;3:43:21 PM;1.58;84.740;30.340;6107.000;13.100;0.000
8/11/2021;3:43:36 PM;1.83;84.730;30.340;6016.000;13.100;0.000
8/11/2021;3:43:51 PM;2.08;84.200;30.410;6136.000;13.100;0.000
8/11/2021;3:44:06 PM;2.33;85.390;30.260;6249.000;13.100;0.000
8/11/2021;3:44:21 PM;2.58;86.080;30.170;5345.000;13.100;0.000
8/11/2021;3:44:36 PM;2.83;85.950;30.180;5613.000;13.100;0.000
8/11/2021;3:44:51 PM;3.08;86.390;30.130;5670.000;13.100;0.000
8/11/2021;3:45:06 PM;3.33;85.010;30.310;5780.000;13.100;0.000
8/11/2021;3:45:21 PM;3.58;84.570;30.360;5702.000;13.100;0.000
8/11/2021;3:45:36 PM;3.83;89.490;29.730;4954.000;13.100;0.000
8/11/2021;3:45:51 PM;4.08;87.730;29.950;4485.000;13.100;0.000
8/11/2021;3:46:06 PM;4.33;87.380;30.000;4473.000;13.100;0.000
8/11/2021;3:46:21 PM;4.58;87.800;29.940;4486.000;13.100;0.000
8/11/2021;3:46:36 PM;4.83;87.150;30.030;4513.000;13.100;0.000
8/11/2021;3:46:51 PM;5.08;88.520;29.850;4559.000;13.100;0.000
8/11/2021;3:47:06 PM;5.33;88.000;29.920;4577.000;13.100;0.000
