8/18/2021/9:04 AM SW ver:OXY4v2_30
Header Ch-4
Description: 
IDENTIFICATION
PHIboard number   : v1230972
PM number         : 00000000
Serial number     : S DLD 0001 000056   
MUX channel       : ON - 04

PARAMETERS
Signal LED current: 050
Ref LED current   : 077
Ref LED amplitude : 100446
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.64 at 014.4°C amp 046600
100.00%a.s.phase 2: 28.41 at 013.3°C amp 023800
Date   (ddmmyy)   : 111216
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C;Error
8/18/2021;9:04:31 AM;0.00;90.750;29.510;19187.000;13.100;0.000
8/18/2021;9:04:45 AM;0.23;90.700;29.520;19180.000;13.100;0.000
8/18/2021;9:05:00 AM;0.48;90.890;29.500;19178.000;13.100;0.000
8/18/2021;9:05:15 AM;0.73;90.720;29.520;19154.000;13.100;0.000
8/18/2021;9:05:30 AM;0.98;90.840;29.500;19173.000;13.100;0.000
8/18/2021;9:05:45 AM;1.23;90.530;29.540;19138.000;13.100;0.000
8/18/2021;9:06:00 AM;1.48;90.740;29.520;19099.000;13.100;0.000
8/18/2021;9:06:15 AM;1.73;91.020;29.480;19150.000;13.100;0.000
8/18/2021;9:06:30 AM;1.98;91.420;29.430;19130.000;13.100;0.000
8/18/2021;9:06:45 AM;2.23;90.560;29.540;19113.000;13.100;0.000
8/18/2021;9:07:00 AM;2.48;90.290;29.570;19124.000;13.100;0.000
8/18/2021;9:07:15 AM;2.73;90.800;29.510;19117.000;13.100;0.000
8/18/2021;9:07:30 AM;2.98;90.770;29.510;19121.000;13.100;0.000
8/18/2021;9:07:45 AM;3.23;91.260;29.450;19825.000;13.100;0.000
8/18/2021;9:08:00 AM;3.48;90.640;29.530;19641.000;13.100;0.000
8/18/2021;9:08:15 AM;3.73;91.040;29.480;19652.000;13.100;0.000
8/18/2021;9:08:30 AM;3.98;96.530;28.830;22245.000;13.100;0.000
8/18/2021;9:08:45 AM;4.23;92.560;29.300;18094.000;13.100;0.000
8/18/2021;9:09:00 AM;4.48;91.530;29.420;18140.000;13.100;0.000
8/18/2021;9:09:15 AM;4.73;91.190;29.460;18121.000;13.100;0.000
8/18/2021;9:09:30 AM;4.98;91.480;29.430;18120.000;13.100;0.000
8/18/2021;9:09:45 AM;5.23;90.790;29.510;18129.000;13.100;0.000
8/18/2021;9:10:00 AM;5.48;91.040;29.480;18106.000;13.100;0.000
8/18/2021;9:10:15 AM;5.73;91.610;29.410;18039.000;13.100;0.000
8/18/2021;9:10:30 AM;5.98;91.480;29.430;18008.000;13.100;0.000
8/18/2021;9:10:45 AM;6.23;91.270;29.450;17998.000;13.100;0.000
8/18/2021;9:11:00 AM;6.48;91.220;29.460;18001.000;13.100;0.000
8/18/2021;9:11:15 AM;6.73;91.460;29.430;17984.000;13.100;0.000
8/18/2021;9:11:30 AM;6.98;91.170;29.460;17703.000;13.100;0.000
8/18/2021;9:11:45 AM;7.23;91.720;29.400;17973.000;13.100;0.000
8/18/2021;9:12:00 AM;7.48;91.940;29.370;17811.000;13.100;0.000
8/18/2021;9:12:15 AM;7.73;91.850;29.380;17844.000;13.100;0.000
8/18/2021;9:12:30 AM;7.98;91.500;29.420;16959.000;13.100;0.000
8/18/2021;9:12:45 AM;8.23;90.190;29.580;17058.000;13.100;0.000
8/18/2021;9:13:00 AM;8.48;89.070;29.720;17120.000;13.100;0.000
