8/20/2021/8:15 AM SW ver:OXY4v2_30
Header Ch-2
Description: 
IDENTIFICATION
PHIboard number   : v1230970
PM number         : 00000000
Serial number     : S DLD 0001 000056   
MUX channel       : ON - 02

PARAMETERS
Signal LED current: 050
Ref LED current   : 080
Ref LED amplitude : 102881
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.21 at 014.4°C amp 024000
100.00%a.s.phase 2: 28.33 at 013.3°C amp 013100
Date   (ddmmyy)   : 111216
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C;Error
8/20/2021;8:15:34 AM;0.00;74.180;31.800;15151.000;12.700;0.000
8/20/2021;8:15:35 AM;0.02;74.320;31.770;15147.000;12.700;0.000
8/20/2021;8:15:36 AM;0.03;74.170;31.800;15154.000;12.700;0.000
8/20/2021;8:15:45 AM;0.18;74.040;31.820;15164.000;12.700;0.000
8/20/2021;8:16:00 AM;0.43;73.590;31.890;15153.000;12.700;0.000
8/20/2021;8:16:15 AM;0.68;73.680;31.870;15160.000;12.700;0.000
8/20/2021;8:16:30 AM;0.93;74.510;31.750;15163.000;12.700;0.000
8/20/2021;8:16:45 AM;1.18;73.870;31.840;15247.000;12.700;0.000
8/20/2021;8:17:00 AM;1.43;74.540;31.740;14588.000;12.700;0.000
8/20/2021;8:17:15 AM;1.68;73.210;31.950;15259.000;12.700;0.000
8/20/2021;8:17:30 AM;1.93;71.570;32.210;15510.000;12.700;0.000
8/20/2021;8:17:45 AM;2.18;69.530;32.550;15860.000;12.700;0.000
8/20/2021;8:18:00 AM;2.43;68.370;32.740;15926.000;12.700;0.000
8/20/2021;8:18:15 AM;2.68;66.500;33.060;16079.000;12.700;0.000
8/20/2021;8:18:30 AM;2.93;68.120;32.780;15972.000;12.700;0.000
8/20/2021;8:18:45 AM;3.18;68.570;32.710;15932.000;12.700;0.000
8/20/2021;8:19:00 AM;3.43;68.370;32.740;15945.000;12.700;0.000
8/20/2021;8:19:15 AM;3.68;67.750;32.850;15951.000;12.700;0.000
8/20/2021;8:19:30 AM;3.93;67.930;32.820;15978.000;12.700;0.000
