8/19/2021/10:07 PM SW ver:OXY4v2_30
Header Ch-4
Description: 
IDENTIFICATION
PHIboard number   : v1230972
PM number         : 00000000
Serial number     : S DLD 0001 000056   
MUX channel       : ON - 04

PARAMETERS
Signal LED current: 050
Ref LED current   : 077
Ref LED amplitude : 100618
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.64 at 014.4°C amp 046600
100.00%a.s.phase 2: 28.41 at 013.3°C amp 023800
Date   (ddmmyy)   : 111216
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C;Error
8/19/2021;10:07:26 PM;0.00;84.270;30.420;15518.000;12.700;0.000
8/19/2021;10:07:27 PM;0.02;84.150;30.440;15505.000;12.700;0.000
8/19/2021;10:07:29 PM;0.05;84.090;30.450;15501.000;12.700;0.000
8/19/2021;10:07:31 PM;0.09;84.670;30.370;15523.000;12.700;0.000
8/19/2021;10:07:46 PM;0.33;84.930;30.340;15529.000;12.700;0.000
8/19/2021;10:08:01 PM;0.58;84.560;30.390;15526.000;12.700;0.000
8/19/2021;10:08:16 PM;0.83;84.380;30.410;15531.000;12.700;0.000
8/19/2021;10:08:31 PM;1.08;84.600;30.380;15529.000;12.700;0.000
8/19/2021;10:08:46 PM;1.33;84.220;30.430;15522.000;12.700;0.000
8/19/2021;10:09:01 PM;1.58;84.750;30.360;15530.000;12.700;0.000
8/19/2021;10:09:16 PM;1.83;84.050;30.450;15537.000;12.700;0.000
8/19/2021;10:09:31 PM;2.08;83.600;30.510;15536.000;12.700;0.000
8/19/2021;10:09:46 PM;2.33;84.280;30.420;15519.000;12.700;0.000
8/19/2021;10:10:01 PM;2.58;84.210;30.430;15542.000;12.700;0.000
8/19/2021;10:10:16 PM;2.83;83.890;30.480;15524.000;12.700;0.000
8/19/2021;10:10:31 PM;3.08;83.500;30.530;15533.000;12.700;0.000
8/19/2021;10:10:46 PM;3.33;84.450;30.400;15514.000;12.700;0.000
8/19/2021;10:11:01 PM;3.58;83.780;30.490;15552.000;12.700;0.000
8/19/2021;10:11:16 PM;3.83;83.670;30.500;15530.000;12.700;0.000
8/19/2021;10:11:31 PM;4.08;84.070;30.450;15550.000;12.700;0.000
8/19/2021;10:11:46 PM;4.33;84.270;30.420;15548.000;12.700;0.000
8/19/2021;10:12:01 PM;4.58;83.530;30.520;15556.000;12.700;0.000
8/19/2021;10:12:16 PM;4.83;83.330;30.550;15566.000;12.700;0.000
8/19/2021;10:12:31 PM;5.08;84.040;30.460;15545.000;12.700;0.000
8/19/2021;10:12:46 PM;5.33;83.660;30.510;15523.000;12.700;0.000
8/19/2021;10:13:01 PM;5.58;83.130;30.580;15567.000;12.700;0.000
8/19/2021;10:13:16 PM;5.83;83.670;30.500;15585.000;12.700;0.000
8/19/2021;10:13:31 PM;6.09;83.350;30.550;15598.000;12.700;0.000
8/19/2021;10:13:46 PM;6.34;83.200;30.570;15586.000;12.700;0.000
8/19/2021;10:14:01 PM;6.59;83.340;30.550;15598.000;12.700;0.000
8/19/2021;10:14:16 PM;6.83;82.620;30.650;15589.000;12.700;0.000
8/19/2021;10:14:31 PM;7.08;83.150;30.580;15596.000;12.700;0.000
8/19/2021;10:14:46 PM;7.34;82.970;30.600;15588.000;12.700;0.000
8/19/2021;10:15:01 PM;7.59;82.690;30.640;15615.000;12.700;0.000
8/19/2021;10:15:16 PM;7.83;83.250;30.560;15598.000;12.700;0.000
8/19/2021;10:15:31 PM;8.08;83.130;30.580;15608.000;12.700;0.000
8/19/2021;10:15:46 PM;8.33;82.910;30.610;15605.000;12.700;0.000
8/19/2021;10:16:01 PM;8.58;82.910;30.610;15592.000;12.700;0.000
8/19/2021;10:16:16 PM;8.83;82.830;30.620;15604.000;12.700;0.000
8/19/2021;10:16:31 PM;9.08;82.890;30.610;15599.000;12.700;0.000
8/19/2021;10:16:46 PM;9.33;82.970;30.600;15618.000;12.700;0.000
8/19/2021;10:17:01 PM;9.58;83.300;30.560;15611.000;12.700;0.000
8/19/2021;10:17:16 PM;9.83;82.420;30.680;15604.000;12.700;0.000
8/19/2021;10:17:31 PM;10.08;83.090;30.580;15601.000;12.700;0.000
8/19/2021;10:17:46 PM;10.34;83.250;30.560;15594.000;12.700;0.000
8/19/2021;10:18:01 PM;10.58;83.150;30.580;15599.000;12.700;0.000
8/19/2021;10:18:16 PM;10.83;82.950;30.600;15604.000;12.700;0.000
8/19/2021;10:18:31 PM;11.08;83.020;30.590;15589.000;12.700;0.000
8/19/2021;10:18:46 PM;11.33;82.380;30.680;15587.000;12.700;0.000
8/19/2021;10:19:01 PM;11.58;82.820;30.620;15605.000;12.700;0.000
8/19/2021;10:19:16 PM;11.83;83.580;30.520;15581.000;12.700;0.000
8/19/2021;10:19:31 PM;12.08;83.460;30.530;15588.000;12.700;0.000
8/19/2021;10:19:46 PM;12.33;83.160;30.570;15607.000;12.700;0.000
8/19/2021;10:20:01 PM;12.58;82.720;30.630;15592.000;12.700;0.000
8/19/2021;10:20:16 PM;12.83;82.980;30.600;15604.000;12.700;0.000
8/19/2021;10:20:31 PM;13.08;83.510;30.530;15594.000;12.700;0.000
8/19/2021;10:20:46 PM;13.33;82.540;30.660;15604.000;12.700;0.000
8/19/2021;10:21:01 PM;13.58;83.110;30.580;15604.000;12.700;0.000
8/19/2021;10:21:16 PM;13.83;82.750;30.630;15592.000;12.700;0.000
8/19/2021;10:21:31 PM;14.08;83.780;30.490;15609.000;12.700;0.000
8/19/2021;10:21:46 PM;14.33;82.980;30.600;15614.000;12.700;0.000
8/19/2021;10:22:01 PM;14.58;82.780;30.630;15580.000;12.700;0.000
8/19/2021;10:22:16 PM;14.83;82.350;30.680;15586.000;12.700;0.000
8/19/2021;10:22:31 PM;15.08;82.830;30.620;15598.000;12.700;0.000
8/19/2021;10:22:46 PM;15.33;83.220;30.570;15604.000;12.700;0.000
8/19/2021;10:23:01 PM;15.58;82.850;30.620;15585.000;12.700;0.000
8/19/2021;10:23:16 PM;15.83;83.060;30.590;15582.000;12.700;0.000
8/19/2021;10:23:31 PM;16.08;82.550;30.660;15611.000;12.700;0.000
8/19/2021;10:23:46 PM;16.33;82.650;30.640;15618.000;12.700;0.000
8/19/2021;10:24:01 PM;16.58;82.780;30.630;15592.000;12.700;0.000
8/19/2021;10:24:16 PM;16.83;83.160;30.570;15623.000;12.700;0.000
