8/10/2021/7:04 PM SW ver:OXY4v2_30
Header Ch-1
Description: 
IDENTIFICATION
PHIboard number   : v1230969
PM number         : 00000000
Serial number     : S DLD 0001 000056   
MUX channel       : ON - 01

PARAMETERS
Signal LED current: 050
Ref LED current   : 076
Ref LED amplitude : 100783
Frequency         : 006
Sending interval  : 0001
Averaging         : 7
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.06 at 013.7°C amp 011800
100.00%a.s.phase 2: 28.47 at 013.3°C amp 005600
Date   (ddmmyy)   : 111216
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C;Error
Recalibration
8/10/2021;7:05:00 PM;0.00;87.700;29.960;5775.000;13.100;0.000
8/10/2021;7:05:05 PM;0.10;88.260;29.890;5782.000;13.100;0.000
8/10/2021;7:05:06 PM;0.13;86.990;30.050;5776.000;13.100;0.000
8/10/2021;7:05:08 PM;0.15;88.200;29.890;5762.000;13.100;0.000
8/10/2021;7:05:21 PM;0.37;87.560;29.970;5773.000;13.100;0.000
8/10/2021;7:05:36 PM;0.62;87.560;29.970;5828.000;13.100;0.000
8/10/2021;7:05:51 PM;0.87;87.560;29.970;5901.000;13.100;0.000
8/10/2021;7:06:06 PM;1.12;87.760;29.950;6117.000;13.100;0.000
8/10/2021;7:06:21 PM;1.37;87.200;30.020;5987.000;13.100;0.000
8/10/2021;7:06:36 PM;1.62;88.550;29.850;5992.000;13.100;0.000
8/10/2021;7:06:51 PM;1.87;88.730;29.830;5987.000;13.100;0.000
8/10/2021;7:07:06 PM;2.12;86.780;30.070;5796.000;13.100;0.000
8/10/2021;7:07:21 PM;2.37;88.670;29.830;5891.000;13.100;0.000
8/10/2021;7:07:36 PM;2.62;87.980;29.920;5931.000;13.100;0.000
8/10/2021;7:07:51 PM;2.87;88.190;29.890;5933.000;13.100;0.000
8/10/2021;7:08:06 PM;3.12;89.140;29.770;5924.000;13.100;0.000
8/10/2021;7:08:21 PM;3.37;88.470;29.860;5855.000;13.100;0.000
8/10/2021;7:08:36 PM;3.62;87.370;30.000;5860.000;13.100;0.000
8/10/2021;7:08:51 PM;3.87;87.210;30.020;5918.000;13.100;0.000
8/10/2021;7:09:06 PM;4.12;88.100;29.910;5687.000;13.100;0.000
