
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.317	with	FireStingO2	(Firmware	3.10)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Oxygen Sensor Spot, FTC (normal range)	umol/l	OFF	SA7-530-200	3	ON External	21.500	ON	1013	30.000	40%	400x	10	ON fiber length	2.00	
Ch 2	Oxygen Sensor Spot, FTC (normal range)	umol/l	OFF	SA7-530-200	3	ON External	21.500	ON	1013	30.000	40%	400x	10	ON fiber length	2.00	
Ch 3	Oxygen Sensor Spot, FTC (normal range)	umol/l	OFF	SA7-530-200	3	ON External	21.500	ON	1013	30.000	40%	400x	10	ON fiber length	2.00	
Ch 4	Oxygen Sensor Spot, FTC (normal range)	umol/l	OFF	SA7-530-200	3	ON External	21.500	ON	1013	30.000	40%	400x	10	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	200	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	Toffset(K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	15.232	14.275	1011	100.000	20.950	50.422	21.773	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	0.000	
Ch 2	0% Calibration	Air with 100% Humidity or Air Saturated Water	15.210	14.285	1011	100.000	20.950	51.929	22.615	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	0.000	
Ch 3	0% Calibration	Air with 100% Humidity or Air Saturated Water	15.184	14.302	1011	100.000	20.950	51.327	22.607	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	0.000	
Ch 4	0% Calibration	Air with 100% Humidity or Air Saturated Water	15.170	14.314	1011	100.000	20.950	49.234	21.150	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	0.000	
Data	Smoothing:	3	
Date:	8/12/2021	
			 	Oxygen	Oxygen	Oxygen	Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
8/12/2021	20:42:59	0.00		247.44	245.28	248.96	237.25	13.704	13.704	13.704	13.704	1011.41	60.795	13.704	---	---	22.737	23.717	23.529	22.553	113.293	104.371	85.892	79.635	5.567	5.988	4.903	5.037	
8/12/2021	20:43:01	1.32		247.22	245.36	249.11	237.34	13.703	13.703	13.703	13.703	1011.39	60.795	13.703	---	---	22.747	23.713	23.522	22.549	113.325	104.377	85.887	79.692	5.620	5.968	4.887	5.050	
8/12/2021	20:43:02	2.31		247.36	245.69	249.20	237.44	13.701	13.701	13.701	13.701	1011.42	60.795	13.701	---	---	22.742	23.698	23.519	22.545	113.326	104.360	85.878	79.704	5.639	6.037	4.893	5.079	
8/12/2021	20:43:03	3.30		247.32	245.80	249.36	237.36	13.700	13.700	13.700	13.700	1011.41	60.795	13.700	---	---	22.744	23.693	23.512	22.549	113.334	104.323	85.855	79.697	5.692	6.078	4.896	5.096	
8/12/2021	20:43:04	4.27		247.30	245.74	249.31	237.27	13.703	13.703	13.703	13.703	1011.41	60.795	13.703	---	---	22.744	23.695	23.513	22.552	113.322	104.292	85.839	79.699	5.681	6.059	4.885	5.088	
8/12/2021	20:43:05	5.23		247.30	245.62	249.47	237.38	13.702	13.702	13.702	13.702	1011.46	60.795	13.702	---	---	22.745	23.701	23.506	22.548	113.311	104.298	85.822	79.704	5.617	6.003	4.864	5.076	
8/12/2021	20:43:19	19.41		247.46	246.25	248.65	237.02	13.701	13.701	13.701	13.701	1011.51	60.856	13.701	---	---	22.738	23.672	23.544	22.565	113.251	104.202	85.873	79.843	5.629	5.983	4.888	4.836	
8/12/2021	20:43:34	34.41		247.42	246.05	248.85	236.71	13.701	13.701	13.701	13.701	1011.43	60.980	13.701	---	---	22.739	23.681	23.535	22.579	113.259	104.248	85.949	79.771	5.538	5.989	4.857	5.037	
8/12/2021	20:43:49	49.41		247.13	246.35	248.50	237.03	13.697	13.697	13.697	13.697	1011.44	61.092	13.697	---	---	22.754	23.668	23.552	22.565	113.458	104.211	85.958	79.658	5.629	6.059	4.860	5.020	
8/12/2021	20:44:04	64.41		247.09	246.37	248.25	237.35	13.690	13.690	13.690	13.690	1011.45	61.166	13.690	---	---	22.758	23.670	23.566	22.553	113.558	104.263	85.918	80.019	5.659	6.066	4.923	4.996	
8/12/2021	20:44:19	79.41		247.43	241.46	249.26	238.09	13.692	13.692	13.692	13.692	1011.51	61.207	13.692	---	---	22.742	23.903	23.519	22.518	113.287	105.389	85.802	79.773	5.658	6.012	4.869	5.068	
8/12/2021	20:44:34	94.41		247.59	241.85	249.34	238.32	13.690	13.690	13.690	13.690	1011.44	61.207	13.690	---	---	22.735	23.885	23.516	22.508	113.407	105.358	85.870	79.869	5.665	6.043	4.884	5.032	
8/12/2021	20:44:49	109.41		247.24	242.90	249.15	239.64	13.690	13.690	13.690	13.690	1011.45	61.217	13.690	---	---	22.751	23.835	23.525	22.448	113.201	105.124	85.859	79.592	5.590	6.078	4.911	5.158	
