"","","file_check","score"
"1","Gr1 Muus 1800-2  7day-8-2-21.txt","Gr1 Muus 1800-2  7day-8-2-21.txt","0"
"2","GR1 Muus1000 7-20-21.txt","GR1 Muus1000 7-20-21.txt","0"
"3","GR1 Muus1000 7day-7-26-21.txt","GR1 Muus1000 7day-7-26-21.txt","0"
"4","GR1 Muus1800 7-12-21.txt","GR1 Muus1800 7-12-21.txt","0"
"5","GR1 Muus1800 7day-7-19-21.txt","GR1 Muus1800 7day-7-19-21.txt","0"
"6","GR1 Muus1800-2 7-26-21.txt","GR1 Muus1800-2 7-26-21.txt","0"
"7","gr2muus1000 7-20-21.txt","gr2muus1000 7-20-21.txt","0"
"8","gr2muus1000-2 7-26-21.txt","gr2muus1000-2 7-26-21.txt","0"
"9","gr2muus1800 7day 7-19-21.txt","gr2muus1800 7day 7-19-21.txt","0"
"10","gr2muus1800-2 7-27-21 forgot to start log.txt","gr2muus1800-2 7-27-21 forgot to start log.txt","0"
"11","gr2muus1800-2 day7 8-2-21.txt","gr2muus1800-2 day7 8-2-21.txt","0"
"12","gr3 muus 1000 7-20-21.txt","gr3 muus 1000 7-20-21.txt","0"
"13","gr3 muus 1000-2 7day 7-26-21.txt","gr3 muus 1000-2 7day 7-26-21.txt","0"
"14","gr3 muus 1800 -2 7-27-21.txt","gr3 muus 1800 -2 7-27-21.txt","0"
"15","gr3 muus 1800 -2 day7 8-02-21.txt","gr3 muus 1800 -2 day7 8-02-21.txt","0"
"16","gr3 muus 1800 7-12-21.txt","gr3 muus 1800 7-12-21.txt","0"
"17","gr3 muus 1800 7day-7-19-21.txt","gr3 muus 1800 7day-7-19-21.txt","0"
"18","GR4MUUS1000-2-7-26-21-ch1.txt","GR4MUUS1000-2-7-26-21-ch1.txt","0"
"19","GR4MUUS1000-7-21-21-ch1.txt","GR4MUUS1000-7-21-21-ch1.txt","0"
"20","GR4MUUS1800-2-7-26-21-ch1.txt","GR4MUUS1800-2-7-26-21-ch1.txt","0"
"21","GR4MUUS1800-2-7day-8-2-21-ch1.txt","GR4MUUS1800-2-7day-8-2-21.txt","4"
"22","GR4MUUS1800-7-12-21MUUS-ch1.txt","GR4MUUS18007.12.21MUUS-ch1","7"
"23","GR4MUUS1800-7day-7-19-21-ch1.txt","GR4MUUS1800-7day-7-19-21.txt","4"
"24","ne_10m_land.VERSION.txt","gr2muus1000 7-20-21.txt","19"
"25","ne_10m_minor_islands.VERSION.txt","gr3 muus 1800 7-12-21.txt","26"
"26","tbocto 1000 rmr tank 1 and 2 8-10-21 1 ch 1-2 2 ch3-4.txt","tbocto 1000 rmr tank 1 and 2 8-10-21 1 ch 1-2 2 ch3-4.txt","0"
"27","Tbocto 1000 rmr tank 1 and 2 day 7 8-18-21.txt","Tbocto 1000 rmr tank 1 and 2 day 7 8-18-21.txt","0"
"28","tbocto 1000 rmr tank 3 and 4 day 7 8-18-21-ch1.txt","tbocto 1000 rmr tank 3 and 4 day 7 8-18-21-ch1.txt","0"
"29","tbocto 1800 rmr 7da7 ch1 2 tank 10 ch 3 4 blank 8-19-21-ch1.txt","tbocto 1800 rmr 7da7 ch1 2 tank 10 ch 3 4 blank 8-19-21-ch1.txt","0"
"30","tbocto 1000 rmr tank 3 and 4 8-10-21-ch1.txt","tbocto 1000 rmr tank 3 and 4 8-10-21-ch1.txt","0"
"31","tbocto 1800 rmr tank 10 3-4 blank 8-12-21.txt","tbocto 1800 rmr 3-4 blank 8-12-21","12"
